cartodb_id,the_geom,draworder2,visibility2,extrude2,tessellate2,draworder,visibility,extrude,tessellate,____________2,______,____________,lat,lon,icon2,altitudemode2,end2,begin2,timestamp2,icon,altitudemode,description,name,_end,begin,timestamp
918,0101000020E610000042E7357689945D40CE6BEC12D57B3840,,,,,,-1,-1,-1,,金門,2015-2016,24.48372,118.32089,,,,,,,,lon: 118.32089<br>lat: 24.48372<br>通報編號: <br>地點: 金門<br>建檔日期: 2015-2016,4918.0,,,
472,0101000020E6100000F1A0D9756F425E407CD3F4D901CF3840,,,,,,-1,-1,-1,,新竹縣竹北市高鐵站後方草皮(高鐵公司範圍),2015-2016,24.808622,121.038053,,,,,,,,lon: 121.038053<br>lat: 24.808622<br>通報編號: (諮)1050204-01<br>地點: 新竹縣竹北市高鐵站後方草皮(高鐵公司範圍)<br>建檔日期: 2015-2016,4472.0,,,
1,0101000020E61000008318E8DA17485E40909E228788CF3840,,,,,,-1,-1,-1,,新竹縣關西鎮石光里,20131217,24.810677,121.126456,,,,,,,,lon: 121.126456<br>lat: 24.810677<br>通報編號: (諮)1021217-01<br>地點: 新竹縣關西鎮石光里<br>建檔日期: 20131217,4001.0,,,
2,0101000020E610000028D36872314A5E40446FF1F09ED33840,,,,,,-1,-1,-1,,新竹縣關西鎮大旱坑段大東坑小段57-11地號,20140122,24.826644,121.159268,,,,,,,,lon: 121.159268<br>lat: 24.826644<br>通報編號: (通)1030120-01<br>地點: 新竹縣關西鎮大旱坑段大東坑小段57-11地號<br>建檔日期: 20140122,4002.0,,,
3,0101000020E6100000B4E7323509495E40062E8F3523C73840,,,,,,-1,-1,-1,,新竹縣關西鎮上橫坑段388地號,20140314,24.777881,121.141187,,,,,,,,lon: 121.141187<br>lat: 24.777881<br>通報編號: (通)1030306-02<br>地點: 新竹縣關西鎮上橫坑段388地號<br>建檔日期: 20140314,4003.0,,,
4,0101000020E61000001650A8A78F485E40F9DB9E20B1CD3840,,,,,,-1,-1,-1,,新竹縣關西鎮坪林段214地號,20140314,24.803484,121.133768,,,,,,,,lon: 121.133768<br>lat: 24.803484<br>通報編號: (通)1030306-03<br>地點: 新竹縣關西鎮坪林段214地號<br>建檔日期: 20140314,4004.0,,,
5,0101000020E61000007917EFC7ED4A5E40CC24EA059FC63840,,,,,,-1,-1,-1,,新竹縣關西鎮燥坑段5-2地號,20140407,24.775864,121.170763,,,,,,,,lon: 121.170763<br>lat: 24.775864<br>通報編號: (通)1030325-01<br>地點: 新竹縣關西鎮燥坑段5-2地號<br>建檔日期: 20140407,4005.0,,,
6,0101000020E610000003ECA35357475E4091813CBB7CCF3840,,,,,,-1,-1,-1,,新竹縣關西鎮下南片段415地號農地 (寶樹堂旁菜園),20140407,24.810497,121.114705,,,,,,,,lon: 121.114705<br>lat: 24.810497<br>通報編號: (通)1030403-01<br>地點: 新竹縣關西鎮下南片段415地號農地 (寶樹堂旁菜園)<br>建檔日期: 20140407,4006.0,,,
929,0101000020E6100000B459F5B9DA905D4083A3E4D5396E3840,,,,,,-1,-1,-1,,金門,2015-2016,24.43057,118.26335,,,,,,,,lon: 118.26335<br>lat: 24.43057<br>通報編號: <br>地點: 金門<br>建檔日期: 2015-2016,4929.0,,,
930,0101000020E6100000143AAFB14B9A5D4010FC6F253B863840,,,,,,-1,-1,-1,,金門,2015-2016,24.52434,118.41087,,,,,,,,lon: 118.41087<br>lat: 24.52434<br>通報編號: <br>地點: 金門<br>建檔日期: 2015-2016,4930.0,,,
931,0101000020E6100000381092054C9A5D402E90A0F831863840,,,,,,-1,-1,-1,,金門,2015-2016,24.5242,118.41089,,,,,,,,lon: 118.41089<br>lat: 24.5242<br>通報編號: <br>地點: 金門<br>建檔日期: 2015-2016,4931.0,,,
932,0101000020E6100000CE8DE9094B9A5D4012C2A38D23863840,,,,,,-1,-1,-1,,金門,2015-2016,24.52398,118.41083,,,,,,,,lon: 118.41083<br>lat: 24.52398<br>通報編號: <br>地點: 金門<br>建檔日期: 2015-2016,4932.0,,,
7,0101000020E610000000C5C892394B5E409240834D9DCB3840,,,,,,-1,-1,-1,,新竹縣關西鎮北斗里正義路158-2號,20140423,24.795369,121.175389,,,,,,,,lon: 121.175389<br>lat: 24.795369<br>通報編號: (通)1030414-02<br>地點: 新竹縣關西鎮北斗里正義路158-2號<br>建檔日期: 20140423,4007.0,,,
8,0101000020E6100000164ED2FC31485E40B91281EA1FD03840,,,,,,-1,-1,-1,,新竹縣關西鎮石光段1540地號,20140423,24.812987,121.128051,,,,,,,,lon: 121.128051<br>lat: 24.812987<br>通報編號: (通)1030414-04<br>地點: 新竹縣關西鎮石光段1540地號<br>建檔日期: 20140423,4008.0,,,
9,0101000020E6100000DEA5D425E34A5E400C73823639D43840,,,,,,-1,-1,-1,,新竹縣關西鎮水汴頭高原路,20140505,24.828998,121.170114,,,,,,,,lon: 121.170114<br>lat: 24.828998<br>通報編號: (諮)1030421-01<br>地點: 新竹縣關西鎮水汴頭高原路<br>建檔日期: 20140505,4009.0,,,
10,0101000020E61000008B170B43E44A5E40B9AAECBB22D43840,,,,,,-1,-1,-1,,新竹縣關西鎮水汴頭高原路,20140505,24.828655,121.170182,,,,,,,,lon: 121.170182<br>lat: 24.828655<br>通報編號: (諮)1030421-01<br>地點: 新竹縣關西鎮水汴頭高原路<br>建檔日期: 20140505,4010.0,,,
11,0101000020E61000008CBB41B456475E40A1F7C61000D03840,,,,,,-1,-1,-1,,新竹縣關西鎮下南片段444地號,20140606,24.812501,121.114667,,,,,,,,lon: 121.114667<br>lat: 24.812501<br>通報編號: (通)1030521-02<br>地點: 新竹縣關西鎮下南片段444地號<br>建檔日期: 20140606,4011.0,,,
12,0101000020E610000085251E5036475E4012A452EC68D03840,,,,,,-1,-1,-1,,新竹縣關西鎮石光段1273地號,20140612,24.814101,121.11269,,,,,,,,lon: 121.11269<br>lat: 24.814101<br>通報編號: (通)1030603-01<br>地點: 新竹縣關西鎮石光段1273地號<br>建檔日期: 20140612,4012.0,,,
