cartodb_id,the_geom,draworder2,visibility2,extrude2,tessellate2,draworder,visibility,extrude,tessellate,____________2,______,____________,lat,lon,icon2,altitudemode2,end2,begin2,timestamp2,icon,altitudemode,description,name,_end,begin,timestamp
13,0101000020E61000005C50DF32A7485E402D5F97E13FD53840,,,,,,-1,-1,-1,,新竹縣關西鎮小東坑22號天陵墓園,20140729,24.833006,121.135205,,,,,,,,lon: 121.135205<br>lat: 24.833006<br>通報編號: (諮)1030729-03<br>地點: 新竹縣關西鎮小東坑22號天陵墓園<br>建檔日期: 20140729,4013.0,,,
14,0101000020E61000008026C286A7485E404540852348D53840,,,,,,-1,-1,-1,,新竹縣關西鎮小東坑22號天陵墓園,20140729,24.833132,121.135225,,,,,,,,lon: 121.135225<br>lat: 24.833132<br>通報編號: (諮)1030729-03<br>地點: 新竹縣關西鎮小東坑22號天陵墓園<br>建檔日期: 20140729,4014.0,,,
15,0101000020E6100000EAABAB02B5485E40C9E2FE23D3D53840,,,,,,-1,-1,-1,,新竹縣關西鎮小東坑22號天陵墓園,20140729,24.835253,121.136048,,,,,,,,lon: 121.136048<br>lat: 24.835253<br>通報編號: (諮)1030729-03<br>地點: 新竹縣關西鎮小東坑22號天陵墓園<br>建檔日期: 20140729,4015.0,,,
16,0101000020E6100000256F8099EF4B5E400BD28C45D3CD3840,,,,,,-1,-1,-1,,新竹縣關西鎮仁安里拱子溝36號天主教華光智能發展中心的農場,20140804,24.804005,121.186499,,,,,,,,lon: 121.186499<br>lat: 24.804005<br>通報編號: (諮)1030718-02<br>地點: 新竹縣關西鎮仁安里拱子溝36號天主教華光智能發展中心的農場<br>建檔日期: 20140804,4016.0,,,
17,0101000020E61000001C075E2D77485E406552431B80CD3840,,,,,,-1,-1,-1,,新竹縣關西鎮坪林段259-6地號,20140804,24.802736,121.132274,,,,,,,,lon: 121.132274<br>lat: 24.802736<br>通報編號: (通)1030724-02<br>地點: 新竹縣關西鎮坪林段259-6地號<br>建檔日期: 20140804,4017.0,,,
18,0101000020E61000001310937021495E406C223317B8CC3840,,,,,,-1,-1,-1,,新竹縣關西鎮坪林段81地號,20140804,24.799684,121.142666,,,,,,,,lon: 121.142666<br>lat: 24.799684<br>通報編號: (通)1030724-03<br>地點: 新竹縣關西鎮坪林段81地號<br>建檔日期: 20140804,4018.0,,,
19,0101000020E61000007EC51A2E72485E402EE23B31EBCD3840,,,,,,-1,-1,-1,,新竹縣關西鎮下南片段21地號,20140804,24.80437,121.131969,,,,,,,,lon: 121.131969<br>lat: 24.80437<br>通報編號: (通)1030724-04<br>地點: 新竹縣關西鎮下南片段21地號<br>建檔日期: 20140804,4019.0,,,
20,0101000020E610000008AF5DDA70485E40C092AB58FCCA3840,,,,,,-1,-1,-1,,新竹縣關西鎮下橫坑段515地號,20140806,24.792913,121.131888,,,,,,,,lon: 121.131888<br>lat: 24.792913<br>通報編號: (通)1030731-01<br>地點: 新竹縣關西鎮下橫坑段515地號<br>建檔日期: 20140806,4020.0,,,
21,0101000020E6100000AA4203B16C4B5E40B6F468AA27C73840,,,,,,-1,-1,-1,,新竹縣關西鎮富光國中附近於羅馬公路上的東平種苗園,20140814,24.777949,121.178509,,,,,,,,lon: 121.178509<br>lat: 24.777949<br>通報編號: (民)1030806-01<br>地點: 新竹縣關西鎮富光國中附近於羅馬公路上的東平種苗園<br>建檔日期: 20140814,4021.0,,,
22,0101000020E61000007CE6AC4F39485E401288D7F50BCE3840,,,,,,-1,-1,-1,,新竹縣關西鎮下南片段474地號,20140826,24.80487,121.128498,,,,,,,,lon: 121.128498<br>lat: 24.80487<br>通報編號: (通)1030812-02<br>地點: 新竹縣關西鎮下南片段474地號<br>建檔日期: 20140826,4022.0,,,
23,0101000020E6100000E5C9350532485E4064506D7022CE3840,,,,,,-1,-1,-1,,新竹縣關西鎮下南片段34-2地號,20140826,24.805213,121.128053,,,,,,,,lon: 121.128053<br>lat: 24.805213<br>通報編號: (通)1030812-03<br>地點: 新竹縣關西鎮下南片段34-2地號<br>建檔日期: 20140826,4023.0,,,
24,0101000020E6100000AC156D8E73475E40B33C0FEECED23840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里5鄰,20140826,24.82347,121.116428,,,,,,,,lon: 121.116428<br>lat: 24.82347<br>通報編號: (民)1030814-01<br>地點: 新竹縣關西鎮東平里5鄰<br>建檔日期: 20140826,4024.0,,,
25,0101000020E61000007233DC80CF475E407BD80B056CD33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里11鄰1號,20140826,24.825867,121.12204,,,,,,,,lon: 121.12204<br>lat: 24.825867<br>通報編號: (民)1030814-02<br>地點: 新竹縣關西鎮東平里11鄰1號<br>建檔日期: 20140826,4025.0,,,
26,0101000020E61000002906483481485E40251E5036E5CA3840,,,,,,-1,-1,-1,,新竹縣關西鎮下橫坑段568-1地號,20140826,24.79256,121.132886,,,,,,,,lon: 121.132886<br>lat: 24.79256<br>通報編號: (通)1030814-01<br>地點: 新竹縣關西鎮下橫坑段568-1地號<br>建檔日期: 20140826,4026.0,,,
27,0101000020E6100000BB6246787B4B5E40580229B16BC73840,,,,,,-1,-1,-1,,新竹縣關西鎮羅馬公路上富光國中附近,20140826,24.778987,121.179411,,,,,,,,lon: 121.179411<br>lat: 24.778987<br>通報編號: (民)1030818-02<br>地點: 新竹縣關西鎮羅馬公路上富光國中附近<br>建檔日期: 20140826,4027.0,,,
28,0101000020E6100000709A3E3BE0475E40AEB9A3FFE5CE3840,,,,,,-1,-1,-1,,新竹縣關西鎮下南片段103地號,20140828,24.808197,121.123061,,,,,,,,lon: 121.123061<br>lat: 24.808197<br>通報編號: (通)1030822-01<br>地點: 新竹縣關西鎮下南片段103地號<br>建檔日期: 20140828,4028.0,,,
29,0101000020E6100000C83F33880F475E4022FE614B8FD23840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里2鄰,20140916,24.822499,121.110323,,,,,,,,lon: 121.110323<br>lat: 24.822499<br>通報編號: (民)1030825-01<br>地點: 新竹縣關西鎮東平里2鄰<br>建檔日期: 20140916,4029.0,,,
30,0101000020E61000007439252026495E40336FD575A8CE3840,,,,,,-1,-1,-1,,新竹縣關西鎮大同里水坑2-10號(118線22K)(施藥前先聯絡開門),20140916,24.807258,121.142952,,,,,,,,lon: 121.142952<br>lat: 24.807258<br>通報編號: (民)1030825-02<br>地點: 新竹縣關西鎮大同里水坑2-10號(118線22K)(施藥前先聯絡開門)<br>建檔日期: 20140916,4030.0,,,
31,0101000020E61000007C2C7DE8824A5E40A6F10BAF24CD3840,,,,,,-1,-1,-1,,新竹縣關西鎮118縣道關西交流道附近,20140916,24.801341,121.16424,,,,,,,,lon: 121.16424<br>lat: 24.801341<br>通報編號: (民)1030829-02<br>地點: 新竹縣關西鎮118縣道關西交流道附近<br>建檔日期: 20140916,4031.0,,,
32,0101000020E6100000232E008DD24B5E409737876BB5CB3840,,,,,,-1,-1,-1,,新竹縣關西鎮國道三號下方中豐路二段附近之親水橋附近,20140916,24.795737,121.184726,,,,,,,,lon: 121.184726<br>lat: 24.795737<br>通報編號: (民)1030829-03<br>地點: 新竹縣關西鎮國道三號下方中豐路二段附近之親水橋附近<br>建檔日期: 20140916,4032.0,,,
33,0101000020E6100000D6F84CF6CF4B5E403ECF9F36AACB3840,,,,,,-1,-1,-1,,新竹縣關西鎮國道三號下方中豐路二段附近之親水橋附近,20140916,24.795566,121.184568,,,,,,,,lon: 121.184568<br>lat: 24.795566<br>通報編號: (民)1030829-03<br>地點: 新竹縣關西鎮國道三號下方中豐路二段附近之親水橋附近<br>建檔日期: 20140916,4033.0,,,
34,0101000020E6100000C0046EDDCD4B5E4031ACE28DCCCB3840,,,,,,-1,-1,-1,,新竹縣關西鎮國道三號下方中豐路二段附近之親水橋附近,20140916,24.79609,121.18444,,,,,,,,lon: 121.18444<br>lat: 24.79609<br>通報編號: (民)1030829-03<br>地點: 新竹縣關西鎮國道三號下方中豐路二段附近之親水橋附近<br>建檔日期: 20140916,4034.0,,,
35,0101000020E6100000369A5C8C81485E40656F29E78BCD3840,,,,,,-1,-1,-1,,新竹縣關西鎮上林里15鄰61之4號,20140917,24.802916,121.132907,,,,,,,,lon: 121.132907<br>lat: 24.802916<br>通報編號: (諮)1030825-07<br>地點: 新竹縣關西鎮上林里15鄰61之4號<br>建檔日期: 20140917,4035.0,,,
36,0101000020E6100000331B649291495E40E099D024B1CC3840,,,,,,-1,-1,-1,,新竹縣關西鎮中山路隧道附近,20140917,24.799578,121.14951,,,,,,,,lon: 121.14951<br>lat: 24.799578<br>通報編號: (民)1030905-02<br>地點: 新竹縣關西鎮中山路隧道附近<br>建檔日期: 20140917,4036.0,,,
37,0101000020E6100000B240BB438A495E409254A69883CC3840,,,,,,-1,-1,-1,,新竹縣關西鎮中山路隧道附近,20140917,24.798883,121.149064,,,,,,,,lon: 121.149064<br>lat: 24.798883<br>通報編號: (民)1030905-02<br>地點: 新竹縣關西鎮中山路隧道附近<br>建檔日期: 20140917,4037.0,,,
38,0101000020E6100000339F73B7EB4B5E40E692AAED26CC3840,,,,,,-1,-1,-1,,新竹縣關西鎮中豐路二段國道3號下方附近,20140917,24.797469,121.186262,,,,,,,,lon: 121.186262<br>lat: 24.797469<br>通報編號: (民)1030905-03<br>地點: 新竹縣關西鎮中豐路二段國道3號下方附近<br>建檔日期: 20140917,4038.0,,,
39,0101000020E6100000923F1878EE4B5E4012F6ED2422CC3840,,,,,,-1,-1,-1,,新竹縣關西鎮中豐路二段國道3號下方附近,20140917,24.797396,121.18643,,,,,,,,lon: 121.18643<br>lat: 24.797396<br>通報編號: (民)1030905-03<br>地點: 新竹縣關西鎮中豐路二段國道3號下方附近<br>建檔日期: 20140917,4039.0,,,
40,0101000020E6100000F0DFBC38F14B5E40399CF9D51CCC3840,,,,,,-1,-1,-1,,新竹縣關西鎮中豐路二段國道3號下方附近,20140917,24.797315,121.186598,,,,,,,,lon: 121.186598<br>lat: 24.797315<br>通報編號: (民)1030905-03<br>地點: 新竹縣關西鎮中豐路二段國道3號下方附近<br>建檔日期: 20140917,4040.0,,,
41,0101000020E610000038363B527D485E401EBFB7E9CFCA3840,,,,,,-1,-1,-1,,新竹縣關西鎮下橫坑段539-4地號,20140917,24.792235,121.132649,,,,,,,,lon: 121.132649<br>lat: 24.792235<br>通報編號: (通)1030910-01<br>地點: 新竹縣關西鎮下橫坑段539-4地號<br>建檔日期: 20140917,4041.0,,,
42,0101000020E610000031C85D8429485E404759BF9998CA3840,,,,,,-1,-1,-1,,新竹縣關西鎮下橫坑段80地號,20140917,24.791391,121.127534,,,,,,,,lon: 121.127534<br>lat: 24.791391<br>通報編號: (通)1030910-02<br>地點: 新竹縣關西鎮下橫坑段80地號<br>建檔日期: 20140917,4042.0,,,
43,0101000020E610000084ECBC8DCD495E403D9D2B4A09D13840,,,,,,-1,-1,-1,,新竹縣關西鎮大同貳段238地號,20140917,24.816548,121.153171,,,,,,,,lon: 121.153171<br>lat: 24.816548<br>通報編號: (通)1030911-02<br>地點: 新竹縣關西鎮大同貳段238地號<br>建檔日期: 20140917,4043.0,,,
44,0101000020E6100000158E209562495E4094A46B26DFCC3840,,,,,,-1,-1,-1,,新竹縣關西鎮中山路,20140925,24.80028,121.146642,,,,,,,,lon: 121.146642<br>lat: 24.80028<br>通報編號: (諮)1030925-01<br>地點: 新竹縣關西鎮中山路<br>建檔日期: 20140925,4044.0,,,
45,0101000020E61000007FF5B86FB5495E4051D2C3D0EAD03840,,,,,,-1,-1,-1,,新竹縣關西鎮大同里水坑道路,20140925,24.816083,121.151699,,,,,,,,lon: 121.151699<br>lat: 24.816083<br>通報編號: (諮)1030925-02<br>地點: 新竹縣關西鎮大同里水坑道路<br>建檔日期: 20140925,4045.0,,,
46,0101000020E61000003D433866D9495E40DAE1AFC91AD13840,,,,,,-1,-1,-1,,新竹縣關西鎮大同里水坑道路,20140925,24.816815,121.153894,,,,,,,,lon: 121.153894<br>lat: 24.816815<br>通報編號: (諮)1030925-02<br>地點: 新竹縣關西鎮大同里水坑道路<br>建檔日期: 20140925,4046.0,,,
47,0101000020E6100000558847E2E5495E40F14927124CD13840,,,,,,-1,-1,-1,,新竹縣關西鎮大同里水坑道路,20140925,24.817567,121.154656,,,,,,,,lon: 121.154656<br>lat: 24.817567<br>通報編號: (諮)1030925-02<br>地點: 新竹縣關西鎮大同里水坑道路<br>建檔日期: 20140925,4047.0,,,
48,0101000020E6100000A7406667D1495E40508E0244C1D03840,,,,,,-1,-1,-1,,新竹縣關西鎮大同里水坑道路,20140925,24.815449,121.153406,,,,,,,,lon: 121.153406<br>lat: 24.815449<br>通報編號: (諮)1030925-02<br>地點: 新竹縣關西鎮大同里水坑道路<br>建檔日期: 20140925,4048.0,,,
49,0101000020E6100000D862B7CF2A495E407E1D386744CD3840,,,,,,-1,-1,-1,,新竹縣關西鎮上林里中山路,20140926,24.801825,121.143238,,,,,,,,lon: 121.143238<br>lat: 24.801825<br>通報編號: (諮)1030926-01<br>地點: 新竹縣關西鎮上林里中山路<br>建檔日期: 20140926,4049.0,,,
50,0101000020E610000020F12BD6704A5E40BE89213999D03840,,,,,,-1,-1,-1,,新竹縣關西鎮北山里,20140926,24.814838,121.163137,,,,,,,,lon: 121.163137<br>lat: 24.814838<br>通報編號: (諮)1030926-02<br>地點: 新竹縣關西鎮北山里<br>建檔日期: 20140926,4050.0,,,
51,0101000020E610000053AEF02E174A5E40FD2D01F8A7CC3840,,,,,,-1,-1,-1,,新竹縣關西鎮南山里中山路,20141006,24.799438,121.157665,,,,,,,,lon: 121.157665<br>lat: 24.799438<br>通報編號: (諮)1031006-03<br>地點: 新竹縣關西鎮南山里中山路<br>建檔日期: 20141006,4051.0,,,
52,0101000020E6100000249A40118B495E4019726C3D43D43840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141006,24.829151,121.149113,,,,,,,,lon: 121.149113<br>lat: 24.829151<br>通報編號: (諮)1031006-04<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141006,4052.0,,,
53,0101000020E6100000E156410C74495E4073637AC212D33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141006,24.824505,121.147708,,,,,,,,lon: 121.147708<br>lat: 24.824505<br>通報編號: (諮)1031006-05<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141006,4053.0,,,
54,0101000020E6100000E355D636C5475E409D8026C286D33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里竹18,20141007,24.826275,121.121412,,,,,,,,lon: 121.121412<br>lat: 24.826275<br>通報編號: (諮)1031007-01<br>地點: 新竹縣關西鎮東平里竹18<br>建檔日期: 20141007,4054.0,,,
55,0101000020E610000093A7ACA6EB475E40E2CB441152D33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里竹18,20141007,24.825471,121.123758,,,,,,,,lon: 121.123758<br>lat: 24.825471<br>通報編號: (諮)1031007-01<br>地點: 新竹縣關西鎮東平里竹18<br>建檔日期: 20141007,4055.0,,,
56,0101000020E6100000C767B27F9E4A5E403D65355D4FD43840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里水汴頭高原道路,20141007,24.829336,121.165924,,,,,,,,lon: 121.165924<br>lat: 24.829336<br>通報編號: (諮)1031007-02<br>地點: 新竹縣關西鎮東平里水汴頭高原道路<br>建檔日期: 20141007,4056.0,,,
57,0101000020E61000003D26529ACD4A5E40501553E927D43840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里水汴頭高原道路,20141007,24.828734,121.168799,,,,,,,,lon: 121.168799<br>lat: 24.828734<br>通報編號: (諮)1031007-03<br>地點: 新竹縣關西鎮東平里水汴頭高原道路<br>建檔日期: 20141007,4057.0,,,
58,0101000020E61000009D0FCF1264485E40ABE7A4F78DCB3840,,,,,,-1,-1,-1,,新竹縣關西鎮新力里竹21,20141007,24.795135,121.131108,,,,,,,,lon: 121.131108<br>lat: 24.795135<br>通報編號: (諮)1031007-05<br>地點: 新竹縣關西鎮新力里竹21<br>建檔日期: 20141007,4058.0,,,
59,0101000020E61000005EDC460378495E4077F01307D0D33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141007,24.827393,121.14795,,,,,,,,lon: 121.14795<br>lat: 24.827393<br>通報編號: (諮)1031007-07<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141007,4059.0,,,
60,0101000020E6100000A3367172BF475E408192020B60CE3840,,,,,,-1,-1,-1,,新竹縣關西鎮南和里十四股窩路,20141007,24.806153,121.12106,,,,,,,,lon: 121.12106<br>lat: 24.806153<br>通報編號: (諮)1031007-09<br>地點: 新竹縣關西鎮南和里十四股窩路<br>建檔日期: 20141007,4060.0,,,
61,0101000020E610000099BA2BBB60475E407532384A5ECD3840,,,,,,-1,-1,-1,,新竹縣關西鎮南和里內立產業道路,20141007,24.80222,121.115279,,,,,,,,lon: 121.115279<br>lat: 24.80222<br>通報編號: (諮)1031007-10<br>地點: 新竹縣關西鎮南和里內立產業道路<br>建檔日期: 20141007,4061.0,,,
62,0101000020E61000000244C18C29485E408C14CAC2D7CF3840,,,,,,-1,-1,-1,,新竹縣關西鎮石光段1435地號,20141015,24.811886,121.127536,,,,,,,,lon: 121.127536<br>lat: 24.811886<br>通報編號: (通)1031002-01<br>地點: 新竹縣關西鎮石光段1435地號<br>建檔日期: 20141015,4062.0,,,
63,0101000020E6100000B0C56E9F554A5E403FE0810184D33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141015,24.826233,121.161476,,,,,,,,lon: 121.161476<br>lat: 24.826233<br>通報編號: (諮)1031015-07<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141015,4063.0,,,
64,0101000020E61000005F5969520A495E40A774B0FECFC93840,,,,,,-1,-1,-1,,新竹縣關西鎮上林里西坑道路,20141016,24.78833,121.141255,,,,,,,,lon: 121.141255<br>lat: 24.78833<br>通報編號: (諮)1031016-02<br>地點: 新竹縣關西鎮上林里西坑道路<br>建檔日期: 20141016,4064.0,,,
65,0101000020E61000007C7C4276DE475E4084807C0915D43840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141016,24.828446,121.122953,,,,,,,,lon: 121.122953<br>lat: 24.828446<br>通報編號: (諮)1031016-03<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141016,4065.0,,,
66,0101000020E610000010B40243564A5E40B7B8C667B2CB3840,,,,,,-1,-1,-1,,新竹縣關西鎮南山里中山路,20141016,24.795691,121.161515,,,,,,,,lon: 121.161515<br>lat: 24.795691<br>通報編號: (諮)1031016-04<br>地點: 新竹縣關西鎮南山里中山路<br>建檔日期: 20141016,4066.0,,,
67,0101000020E61000004147AB5AD2485E407B4B395FECD53840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141016,24.835638,121.137839,,,,,,,,lon: 121.137839<br>lat: 24.835638<br>通報編號: (諮)1031016-05<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141016,4067.0,,,
68,0101000020E61000000CAB7823F3485E404CD7135D17D63840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141016,24.836294,121.13984,,,,,,,,lon: 121.13984<br>lat: 24.836294<br>通報編號: (諮)1031016-05<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141016,4068.0,,,
69,0101000020E6100000882D3D9AEA485E407632384A5ED53840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141016,24.83347,121.139319,,,,,,,,lon: 121.139319<br>lat: 24.83347<br>通報編號: (諮)1031016-05<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141016,4069.0,,,
70,0101000020E6100000C898BB9690475E40C7D9740470D33840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141016,24.825928,121.1182,,,,,,,,lon: 121.1182<br>lat: 24.825928<br>通報編號: (諮)1031016-07<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141016,4070.0,,,
71,0101000020E6100000EE552B137E475E40EDF5EE8FF7D23840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里,20141016,24.82409,121.11707,,,,,,,,lon: 121.11707<br>lat: 24.82409<br>通報編號: (諮)1031016-07<br>地點: 新竹縣關西鎮東平里<br>建檔日期: 20141016,4071.0,,,
72,0101000020E61000008484285FD0495E4043AED4B320D83840,,,,,,-1,-1,-1,,新竹縣關西鎮東平里新埔路,20141016,24.844249,121.153343,,,,,,,,lon: 121.153343<br>lat: 24.844249<br>通報編號: (諮)1031016-08<br>地點: 新竹縣關西鎮東平里新埔路<br>建檔日期: 20141016,4072.0,,,
73,0101000020E6100000693BA6EECA485E404791B58652CF3840,,,,,,-1,-1,-1,,新竹縣關西鎮石光里正義路,20141016,24.809853,121.137386,,,,,,,,lon: 121.137386<br>lat: 24.809853<br>通報編號: (諮)1031016-09<br>地點: 新竹縣關西鎮石光里正義路<br>建檔日期: 20141016,4073.0,,,
74,0101000020E6100000EEEE01BA2F485E403255302AA9CF3840,,,,,,-1,-1,-1,,新竹縣關西鎮石光里,20141017,24.811175,121.127913,,,,,,,,lon: 121.127913<br>lat: 24.811175<br>通報編號: (諮)1031017-01<br>地點: 新竹縣關西鎮石光里<br>建檔日期: 20141017,4074.0,,,
75,0101000020E6100000E904341136485E40F7B0170AD8CE3840,,,,,,-1,-1,-1,,新竹縣關西鎮石光里,20141017,24.807984,121.1283,,,,,,,,lon: 121.1283<br>lat: 24.807984<br>通報編號: (諮)1031017-01<br>地點: 新竹縣關西鎮石光里<br>建檔日期: 20141017,4075.0,,,
